year,city,country,avg_temp
1743,Charlotte,United States,9.39
1744,Charlotte,United States,17.49
1745,Charlotte,United States,9.51
1746,Charlotte,United States,
1747,Charlotte,United States,
1748,Charlotte,United States,
1749,Charlotte,United States,
1750,Charlotte,United States,16.60
1751,Charlotte,United States,17.35
1752,Charlotte,United States,10.51
1753,Charlotte,United States,15.98
1754,Charlotte,United States,16.12
1755,Charlotte,United States,13.75
1756,Charlotte,United States,16.17
1757,Charlotte,United States,15.64
1758,Charlotte,United States,14.52
1759,Charlotte,United States,15.52
1760,Charlotte,United States,14.15
1761,Charlotte,United States,16.54
1762,Charlotte,United States,15.95
1763,Charlotte,United States,14.01
1764,Charlotte,United States,15.95
1765,Charlotte,United States,15.60
1766,Charlotte,United States,16.43
1767,Charlotte,United States,15.23
1768,Charlotte,United States,14.83
1769,Charlotte,United States,15.69
1770,Charlotte,United States,15.55
1771,Charlotte,United States,16.49
1772,Charlotte,United States,16.20
1773,Charlotte,United States,16.36
1774,Charlotte,United States,15.94
1775,Charlotte,United States,16.80
1776,Charlotte,United States,15.66
1777,Charlotte,United States,15.49
1778,Charlotte,United States,13.27
1779,Charlotte,United States,8.94
1780,Charlotte,United States,
1781,Charlotte,United States,16.11
1782,Charlotte,United States,15.63
1783,Charlotte,United States,15.37
1784,Charlotte,United States,15.30
1785,Charlotte,United States,15.12
1786,Charlotte,United States,15.67
1787,Charlotte,United States,15.70
1788,Charlotte,United States,16.21
1789,Charlotte,United States,15.96
1790,Charlotte,United States,15.86
1791,Charlotte,United States,16.04
1792,Charlotte,United States,15.53
1793,Charlotte,United States,16.14
1794,Charlotte,United States,16.23
1795,Charlotte,United States,15.93
1796,Charlotte,United States,15.71
1797,Charlotte,United States,15.68
1798,Charlotte,United States,16.44
1799,Charlotte,United States,16.09
1800,Charlotte,United States,15.98
1801,Charlotte,United States,16.34
1802,Charlotte,United States,16.57
1803,Charlotte,United States,16.44
1804,Charlotte,United States,16.36
1805,Charlotte,United States,16.58
1806,Charlotte,United States,16.03
1807,Charlotte,United States,15.81
1808,Charlotte,United States,15.80
1809,Charlotte,United States,15.01
1810,Charlotte,United States,15.19
1811,Charlotte,United States,15.34
1812,Charlotte,United States,14.45
1813,Charlotte,United States,15.46
1814,Charlotte,United States,15.22
1815,Charlotte,United States,14.87
1816,Charlotte,United States,14.46
1817,Charlotte,United States,14.50
1818,Charlotte,United States,15.08
1819,Charlotte,United States,15.25
1820,Charlotte,United States,15.30
1821,Charlotte,United States,15.05
1822,Charlotte,United States,16.21
1823,Charlotte,United States,15.49
1824,Charlotte,United States,16.21
1825,Charlotte,United States,16.60
1826,Charlotte,United States,16.27
1827,Charlotte,United States,16.72
1828,Charlotte,United States,18.07
1829,Charlotte,United States,15.99
1830,Charlotte,United States,17.57
1831,Charlotte,United States,15.49
1832,Charlotte,United States,16.27
1833,Charlotte,United States,16.31
1834,Charlotte,United States,16.94
1835,Charlotte,United States,16.07
1836,Charlotte,United States,15.41
1837,Charlotte,United States,16.17
1838,Charlotte,United States,15.84
1839,Charlotte,United States,16.23
1840,Charlotte,United States,16.42
1841,Charlotte,United States,15.97
1842,Charlotte,United States,16.25
1843,Charlotte,United States,15.25
1844,Charlotte,United States,16.14
1845,Charlotte,United States,15.86
1846,Charlotte,United States,16.15
1847,Charlotte,United States,15.61
1848,Charlotte,United States,15.88
1849,Charlotte,United States,15.80
1850,Charlotte,United States,16.07
1851,Charlotte,United States,16.04
1852,Charlotte,United States,16.07
1853,Charlotte,United States,16.21
1854,Charlotte,United States,16.64
1855,Charlotte,United States,16.13
1856,Charlotte,United States,15.01
1857,Charlotte,United States,15.03
1858,Charlotte,United States,16.01
1859,Charlotte,United States,15.92
1860,Charlotte,United States,16.21
1861,Charlotte,United States,15.95
1862,Charlotte,United States,16.09
1863,Charlotte,United States,15.59
1864,Charlotte,United States,15.57
1865,Charlotte,United States,16.22
1866,Charlotte,United States,15.83
1867,Charlotte,United States,15.85
1868,Charlotte,United States,15.29
1869,Charlotte,United States,15.79
1870,Charlotte,United States,15.94
1871,Charlotte,United States,16.44
1872,Charlotte,United States,14.95
1873,Charlotte,United States,15.32
1874,Charlotte,United States,16.19
1875,Charlotte,United States,15.21
1876,Charlotte,United States,15.41
1877,Charlotte,United States,15.70
1878,Charlotte,United States,16.11
1879,Charlotte,United States,16.17
1880,Charlotte,United States,16.33
1881,Charlotte,United States,16.54
1882,Charlotte,United States,16.19
1883,Charlotte,United States,16.24
1884,Charlotte,United States,15.98
1885,Charlotte,United States,14.83
1886,Charlotte,United States,15.06
1887,Charlotte,United States,15.69
1888,Charlotte,United States,15.82
1889,Charlotte,United States,15.82
1890,Charlotte,United States,16.68
1891,Charlotte,United States,15.54
1892,Charlotte,United States,15.28
1893,Charlotte,United States,15.70
1894,Charlotte,United States,16.09
1895,Charlotte,United States,15.04
1896,Charlotte,United States,16.50
1897,Charlotte,United States,16.00
1898,Charlotte,United States,15.77
1899,Charlotte,United States,15.80
1900,Charlotte,United States,16.18
1901,Charlotte,United States,14.86
1902,Charlotte,United States,15.65
1903,Charlotte,United States,15.39
1904,Charlotte,United States,14.99
1905,Charlotte,United States,15.55
1906,Charlotte,United States,15.88
1907,Charlotte,United States,15.89
1908,Charlotte,United States,16.09
1909,Charlotte,United States,15.93
1910,Charlotte,United States,15.50
1911,Charlotte,United States,16.80
1912,Charlotte,United States,15.53
1913,Charlotte,United States,16.31
1914,Charlotte,United States,15.73
1915,Charlotte,United States,15.82
1916,Charlotte,United States,16.16
1917,Charlotte,United States,15.06
1918,Charlotte,United States,16.06
1919,Charlotte,United States,16.60
1920,Charlotte,United States,15.41
1921,Charlotte,United States,17.10
1922,Charlotte,United States,16.66
1923,Charlotte,United States,16.21
1924,Charlotte,United States,15.29
1925,Charlotte,United States,16.84
1926,Charlotte,United States,16.15
1927,Charlotte,United States,16.88
1928,Charlotte,United States,15.70
1929,Charlotte,United States,15.93
1930,Charlotte,United States,16.05
1931,Charlotte,United States,16.80
1932,Charlotte,United States,16.83
1933,Charlotte,United States,17.08
1934,Charlotte,United States,16.21
1935,Charlotte,United States,16.27
1936,Charlotte,United States,16.30
1937,Charlotte,United States,16.02
1938,Charlotte,United States,16.90
1939,Charlotte,United States,16.93
1940,Charlotte,United States,15.33
1941,Charlotte,United States,16.59
1942,Charlotte,United States,16.22
1943,Charlotte,United States,16.16
1944,Charlotte,United States,16.14
1945,Charlotte,United States,16.55
1946,Charlotte,United States,16.82
1947,Charlotte,United States,15.71
1948,Charlotte,United States,16.40
1949,Charlotte,United States,16.93
1950,Charlotte,United States,16.37
1951,Charlotte,United States,16.37
1952,Charlotte,United States,16.61
1953,Charlotte,United States,16.90
1954,Charlotte,United States,16.78
1955,Charlotte,United States,16.39
1956,Charlotte,United States,16.65
1957,Charlotte,United States,16.64
1958,Charlotte,United States,15.32
1959,Charlotte,United States,16.38
1960,Charlotte,United States,15.53
1961,Charlotte,United States,15.92
1962,Charlotte,United States,16.13
1963,Charlotte,United States,15.50
1964,Charlotte,United States,15.91
1965,Charlotte,United States,16.31
1966,Charlotte,United States,15.40
1967,Charlotte,United States,15.68
1968,Charlotte,United States,15.49
1969,Charlotte,United States,15.47
1970,Charlotte,United States,16.32
1971,Charlotte,United States,16.24
1972,Charlotte,United States,15.96
1973,Charlotte,United States,16.37
1974,Charlotte,United States,16.64
1975,Charlotte,United States,16.55
1976,Charlotte,United States,15.45
1977,Charlotte,United States,16.28
1978,Charlotte,United States,15.78
1979,Charlotte,United States,15.76
1980,Charlotte,United States,16.08
1981,Charlotte,United States,15.73
1982,Charlotte,United States,16.35
1983,Charlotte,United States,15.72
1984,Charlotte,United States,16.36
1985,Charlotte,United States,16.53
1986,Charlotte,United States,17.15
1987,Charlotte,United States,16.31
1988,Charlotte,United States,15.68
1989,Charlotte,United States,16.09
1990,Charlotte,United States,17.69
1991,Charlotte,United States,17.06
1992,Charlotte,United States,16.01
1993,Charlotte,United States,16.40
1994,Charlotte,United States,16.42
1995,Charlotte,United States,16.33
1996,Charlotte,United States,15.85
1997,Charlotte,United States,16.05
1998,Charlotte,United States,17.56
1999,Charlotte,United States,16.96
2000,Charlotte,United States,16.43
2001,Charlotte,United States,16.86
2002,Charlotte,United States,17.02
2003,Charlotte,United States,16.28
2004,Charlotte,United States,16.78
2005,Charlotte,United States,16.71
2006,Charlotte,United States,17.04
2007,Charlotte,United States,17.48
2008,Charlotte,United States,16.66
2009,Charlotte,United States,16.42
2010,Charlotte,United States,16.52
2011,Charlotte,United States,17.26
2012,Charlotte,United States,17.64
2013,Charlotte,United States,17.71
